id,category,product_subcategory,product,quantity,price,purchase_date
1,Automotive,Car Cleaning,Car Vacuum,9,49.99,10/10/2023
2,Food - Spices,Salt & Seasoning,Himalayan Salt Grinder,10,4.99,5/14/2024
3,Food - Health/Protein,Protein Supplements,Vanilla Protein Powder,9,24.99,10/11/2023
4,Food - Canned Goods,Canned Vegetables,Diced Tomatoes (canned),5,1.49,6/22/2025
5,Food - Condiments,Plant-Based Condiments,Vegan Mayonnaise,3,4.49,5/20/2024
6,Accessories,Mobile Accessories,Wireless Charging Pad,3,19.99,8/31/2025
7,Clothing - Activewear,Activewear Bras,Athletic Sports Bra,9,24.99,11/8/2023
8,Clothing - Jumpsuits,Jumpsuits,Chic Jumpsuit,9,89.99,12/4/2023
9,Garden,Garden Tools,Herb Drying Rack,3,22.99,6/21/2024
10,Food - Meat & Poultry,Meat Products,Italian Sausage Links,7,5.99,7/3/2024
11,Kitchen,Kitchen Accessories,Dish Soap Dispenser,5,18.99,7/15/2024
12,Food - Breakfast,Healthy Breakfast Options,Organic Granola Cereal,9,5.99,10/12/2023
13,Outdoor,Fishing Equipment,Fishing Rod,9,49.99,5/31/2025
14,Clothing - Tops,Sweaters,Chunky Knit Sweater,5,59.99,2/17/2024
15,Pets,Cat Furniture,Cat Tree,6,99.99,10/27/2023
16,Outdoor,Outdoor Recreation,Inflatable Paddle Board,5,349.99,7/31/2024
17,Audio,Headphones & Earbuds,Noise-Canceling Earbuds,8,79.99,5/26/2025
18,Crafts,Candle & Soap Making Supplies,Handmade Soap Making Kit,9,34.99,6/20/2025
19,Food - Soups,Vegetarian Soups,Carrot Ginger Soup,4,4.29,11/2/2024
20,Food - Frozen Foods,Frozen Meat Products,Frozen Chicken Nuggets,4,4.49,3/8/2025
21,Food - Grains,Pasta,Couscous,6,2.49,3/2/2024
22,Fitness,Hydration Gear,Sports Bottle,10,15.99,6/12/2025
23,Home Appliances,Refrigerators,Compact Refrigerator,7,199.99,6/18/2024
24,Food - Beverages,Juice,Apple Juice,5,3.29,3/23/2025
25,Garden,Planters,Herb Garden Planter Box,7,49.99,7/7/2025
26,Food - Grains,Rice,Basmati Rice,7,5.79,7/1/2025
27,Food - Dairy,Dairy Alternatives,Hummus Variety Pack,9,5.99,10/31/2023
28,Pets,Grooming Supplies,Pet Grooming Kit,9,39.99,3/26/2025
29,Food - Bakery,Breads,Artisan Bread,10,4.59,1/8/2024
30,Food - Fresh Produce,Vegetable Mixes,Vegetable Stir Fry Mix,8,3.29,12/27/2024
31,Health,Massage Therapy,Portable Massage Table,5,199.99,11/21/2024
32,Health,Emergency Preparedness & First Aid,Deluxe First Aid Kit,5,39.99,1/12/2024
33,Pets,Cat Furniture,Cat Tree with Scratching Posts,4,79.99,5/6/2025
34,Food - Condiments,Sauces,Sweet and Sour Sauce,5,2.79,8/2/2024
35,Toys,Game Accessories,Board Game Storage,8,19.99,12/18/2024
36,Food - Soups,Canned Soups,Classic Minestrone Soup,7,2.99,9/4/2024
37,Food - Frozen Foods,Frozen Fruit Blends,Berry Smoothie Mix,7,4.99,10/30/2023
38,Food - Snacks,Savory Snacks,Honey Mustard Pretzel Bites,5,3.99,4/16/2025
39,Food - Bakery,Breads,Jalapeño Cornbread,8,3.29,4/21/2024
40,Food - Breakfast,Granola/Cereal,Pumpkin Spice Granola,3,4.99,7/31/2024
41,Clothing - Outerwear,Jackets,Trendy Bomber Jacket,5,69.99,2/2/2024
42,Food - Beverages,Herbal Tea,Hibiscus Tea Bags,6,3.79,7/21/2024
43,Food - Sauces,Condiments,Honey Garlic Sauce,4,2.59,9/21/2025
44,Garden,Garden Tools,Garden Tool Set with Carrying Bag,10,39.99,12/28/2024
45,Food - Snacks,Gourmet Snacks,Sea Salt Caramel Popcorn,5,3.99,4/28/2024
46,Food - Prepared Meals,Cuisine - Asian,Teriyaki Chicken Bowl,9,6.49,9/18/2025
47,Home,Lighting & Lamps,LED Disco Ball Light,4,19.99,9/14/2025
48,Kitchen,Kitchen Storage & Organization,Wall-Mounted Spice Rack,9,39.99,6/10/2025
49,Food - Vegetables,Vegetable Dishes,Grilled Vegetable Medley,6,4.49,5/23/2025
50,Food - Baking Goods,Baking Ingredients,Baking Powder,6,1.79,4/3/2025
51,Food - Frozen Foods,Frozen Meals,Baked Mac and Cheese,10,5.99,10/17/2023
52,Food - Prepared Meals,Healthy Snacks,Vegetable Sushi Rolls,4,5.99,6/30/2024
53,Fitness,Recovery Tools,Fitness Foam Roller,3,29.99,3/26/2025
54,Fitness,Recovery Tools,Foam Muscle Roller,4,24.99,6/17/2024
55,Food - Snacks,Sweet Snacks,Kid's Fruit Snacks,6,2.49,5/13/2025
56,Toys,Educational Toys,Magnetic Puzzle Board,9,24.99,12/2/2024
57,Food - Beverages,Herbal Tea,Ginger Turmeric Tea,8,3.49,9/18/2024
58,Food - Dairy,Yogurt,Low-Fat Yogurt,8,3.29,3/19/2025
59,Food - Soups,Vegetarian Soups,Black Bean Soup,10,3.49,6/18/2025
60,Home Improvement,Outdoor Cleaning,Pressure Washer Accessories Kit,5,39.99,2/28/2024
61,Clothing - Outerwear,Outerwear,Lightweight Rain Jacket,3,79.99,12/10/2024
62,Food - Snacks,Chocolate Snacks,Dark Chocolate Covered Pretzels,3,3.99,3/11/2025
63,Accessories,Laptop Accessories,Laptop Stand,9,29.99,1/22/2025
64,Toys,Puzzles,Wooden Puzzle Game,9,14.99,9/18/2024
65,Outdoor,Camping Equipment,Air Mattress,6,49.99,8/17/2025
66,Food - Frozen,Frozen Meals,Thai Basil Fried Rice,10,5.99,10/13/2024
67,Electronics,Portable Power Solutions,Solar Charger,10,39.99,12/25/2024
68,Electronics,Cameras & Photography,Digital Camera,7,299.99,3/31/2025
69,Food - Fresh Produce,Vegetable Mixes,Vegetable Stir Fry Mix,5,3.29,3/4/2024
70,Food - Frozen Foods,Frozen Meals,Baked Mac and Cheese,3,5.99,5/29/2024
71,Art Supplies,Sculpting Supplies,Sculpting Kit,7,25.99,6/11/2025
72,Food - Salads,Salad Kits,Classic Caesar Salad Kit,6,4.99,12/6/2024
73,Food - Condiments,Salsas,Spicy Avocado Salsa,6,4.49,3/13/2025
74,Food - Snacks,Dried Fruits,Dried Mango Slices,4,3.49,3/16/2025
75,Food - Grains,Superfoods,Chia Seeds,10,6.99,4/11/2025
76,Kitchen,Small Appliances,Personal Blender,5,39.99,5/4/2025
77,Food - Salads,Gourmet Salads,Pear and Gorgonzola Salad,9,5.49,11/19/2024
78,Food - Baking,Mixes,Almond Flour Pancake Mix,10,5.99,11/9/2024
79,Food - Bakery,Seasonal Items,Pumpkin Spice Cookies,10,3.29,9/10/2024
80,Food - Canned Goods,Canned Vegetarian Meals,Coconut Curry Lentils,8,5.79,1/29/2024
81,Clothing - Footwear,Women's Dress Shoes,Classic Pumps,4,64.99,1/12/2025
82,Kitchen,Coffee Equipment,Manual Coffee Grinder,6,22.99,10/12/2024
83,Clothing - Dresses,Dresses,Pleated Midi Dress,10,79.99,2/12/2024
84,Home,Decorative Wall Art & Accessories,Incense Holder,10,14.99,3/2/2025
85,Clothing - Footwear,Athletic Footwear,Trainers with Mesh Inserts,5,69.99,1/13/2024
86,Outdoor,Outdoor Furniture,Camping Chair,6,29.99,11/5/2023
87,Fitness,Strength Training Equipment,Fitness Resistance Bands Kit,8,29.99,4/30/2024
88,Audio,Audio Accessories,Wireless Music Receiver,10,19.99,1/17/2024
89,Food - Dairy,Yogurt,Greek Yogurt,9,1.99,1/8/2024
